"","gene_id","gene_name","entrezid","gene_biotype","gene_seq_start","gene_seq_end","seq_name","seq_strand","seq_coord_system","symbol","SRR1039508","SRR1039509","SRR1039512","SRR1039513","SRR1039516","SRR1039517","SRR1039520","SRR1039521"
"ENSG00000001561","ENSG00000001561","ENPP4",NA,"protein_coding",46097730,46114436,"6",1,NA,"ENPP4",71,51,211,156,23,38,134,172
"ENSG00000001617","ENSG00000001617","SEMA3F",NA,"protein_coding",50192478,50226508,"3",1,NA,"SEMA3F",555,394,905,415,727,697,618,599
"ENSG00000001626","ENSG00000001626","CFTR",NA,"protein_coding",117105838,117356025,"7",1,NA,"CFTR",10,2,9,2,10,6,5,5
"ENSG00000001629","ENSG00000001629","ANKIB1",NA,"protein_coding",91875548,92030698,"7",1,NA,"ANKIB1",1660,1251,2259,1079,2462,2514,1888,1660
"ENSG00000001630","ENSG00000001630","CYP51A1",NA,"protein_coding",91741465,91772266,"7",-1,NA,"CYP51A1",59,54,66,23,84,87,31,59
"ENSG00000001631","ENSG00000001631","KRIT1",NA,"protein_coding",91828283,91875480,"7",-1,NA,"KRIT1",729,692,943,475,1034,1163,731,744
"ENSG00000002016","ENSG00000002016","RAD52",NA,"protein_coding",1021243,1099219,"12",-1,NA,"RAD52",201,161,256,99,268,257,160,137
"ENSG00000002079","ENSG00000002079","MYH16",NA,"pseudogene",98836417,98908753,"7",1,NA,"MYH16",3,0,3,1,4,0,0,1
"ENSG00000002330","ENSG00000002330","BAD",NA,"protein_coding",64037302,64052176,"11",-1,NA,"BAD",206,174,184,111,194,260,156,177
"ENSG00000002549","ENSG00000002549","LAP3",NA,"protein_coding",17578815,17609595,"4",1,NA,"LAP3",1459,1294,1317,998,1451,1824,853,1031
"ENSG00000002586","ENSG00000002586","CD99",NA,"protein_coding",2609220,2659350,"X",1,NA,"CD99",7507,7203,9501,6214,10973,12863,6834,7225
"ENSG00000002587","ENSG00000002587","HS3ST1",NA,"protein_coding",11394774,11431389,"4",-1,NA,"HS3ST1",2,0,1,0,0,2,0,0
"ENSG00000002726","ENSG00000002726","AOC1",NA,"protein_coding",150521715,150558592,"7",1,NA,"AOC1",0,0,1,0,0,0,0,0
"ENSG00000002745","ENSG00000002745","WNT16",NA,"protein_coding",120965421,120981158,"7",1,NA,"WNT16",4,6,22,10,2,1,5,3
"ENSG00000002746","ENSG00000002746","HECW1",NA,"protein_coding",43152198,43605600,"7",1,NA,"HECW1",151,139,117,65,90,102,86,119
"ENSG00000002822","ENSG00000002822","MAD1L1",NA,"protein_coding",1855429,2272878,"7",-1,NA,"MAD1L1",411,303,446,195,445,523,295,300
"ENSG00000002834","ENSG00000002834","LASP1",NA,"protein_coding",37026112,37078023,"17",1,NA,"LASP1",6314,6364,7831,5809,6677,11970,5766,7825
"ENSG00000002919","ENSG00000002919","SNX11",NA,"protein_coding",46180719,46200436,"17",1,NA,"SNX11",234,246,298,211,217,376,184,265
"ENSG00000002933","ENSG00000002933","TMEM176A",NA,"protein_coding",150497491,150502208,"7",1,NA,"TMEM176A",1254,1508,636,431,25,27,70,109
"ENSG00000003056","ENSG00000003056","M6PR",NA,"protein_coding",9092959,9102551,"12",-1,NA,"M6PR",1189,947,1266,693,1288,1555,957,899
"ENSG00000003096","ENSG00000003096","KLHL13",NA,"protein_coding",117031776,117251303,"X",-1,NA,"KLHL13",550,315,557,171,519,284,485,224
"ENSG00000003137","ENSG00000003137","CYP26B1",NA,"protein_coding",72356367,72375167,"2",-1,NA,"CYP26B1",124,57,256,63,30,45,194,68
"ENSG00000003147","ENSG00000003147","ICA1",NA,"protein_coding",8152814,8302317,"7",-1,NA,"ICA1",0,0,0,1,1,2,2,0
"ENSG00000003249","ENSG00000003249","DBNDD1",NA,"protein_coding",90071273,90086536,"16",-1,NA,"DBNDD1",81,71,207,80,109,112,156,128
"ENSG00000003393","ENSG00000003393","ALS2",NA,"protein_coding",202565277,202645912,"2",-1,NA,"ALS2",769,723,791,540,1115,1509,768,864
"ENSG00000003400","ENSG00000003400","CASP10",NA,"protein_coding",202047604,202094129,"2",1,NA,"CASP10",98,59,133,72,58,49,96,67
"ENSG00000003402","ENSG00000003402","CFLAR",NA,"protein_coding",201980827,202041410,"2",1,NA,"CFLAR",1424,2617,1742,2364,2342,5198,1262,3761
"ENSG00000003436","ENSG00000003436","TFPI",NA,"protein_coding",188328957,188430487,"2",-1,NA,"TFPI",4373,4183,5794,3230,7344,4981,3452,3342
"ENSG00000003509","ENSG00000003509","NDUFAF7",NA,"protein_coding",37458774,37480546,"2",1,NA,"NDUFAF7",287,280,357,191,386,396,251,248
"ENSG00000003756","ENSG00000003756","RBM5",NA,"protein_coding",50126341,50156454,"3",1,NA,"RBM5",2368,1748,2694,1327,2647,2520,1996,2073
"ENSG00000003987","ENSG00000003987","MTMR7",NA,"protein_coding",17155539,17271037,"8",-1,NA,"MTMR7",17,25,25,29,20,51,12,27
"ENSG00000003989","ENSG00000003989","SLC7A2",NA,"protein_coding",17354597,17428082,"8",1,NA,"SLC7A2",47,56,12,3,51,102,18,46
"ENSG00000004059","ENSG00000004059","ARF5",NA,"protein_coding",127228399,127231759,"7",1,NA,"ARF5",1090,1306,1140,817,1334,1986,1028,1347
"ENSG00000004139","ENSG00000004139","SARM1",NA,"protein_coding",26691378,26728065,"17",1,NA,"SARM1",86,83,103,51,115,99,82,77
"ENSG00000004142","ENSG00000004142","POLDIP2",NA,"protein_coding",26673659,26684545,"17",-1,NA,"POLDIP2",1496,1545,1607,964,1754,2301,1133,1256
"ENSG00000004399","ENSG00000004399","PLXND1",NA,"protein_coding",129274018,129325661,"3",-1,NA,"PLXND1",4077,4260,3651,1649,5387,5992,2718,2809
"ENSG00000004455","ENSG00000004455","AK2",NA,"protein_coding",33473585,33546597,"1",-1,NA,"AK2",1207,1111,1485,767,1497,2274,1017,921
"ENSG00000004468","ENSG00000004468","CD38",NA,"protein_coding",15779898,15854853,"4",1,NA,"CD38",3,1,0,0,3,1,2,1
"ENSG00000004478","ENSG00000004478","FKBP4",NA,"protein_coding",2904119,2914576,"12",1,NA,"FKBP4",502,461,551,281,612,659,400,392
"ENSG00000004487","ENSG00000004487","KDM1A",NA,"protein_coding",23345941,23410182,"1",1,NA,"KDM1A",1410,989,1492,727,1708,1614,1263,1035
"ENSG00000004534","ENSG00000004534","RBM6",NA,"protein_coding",49977440,50137478,"3",1,NA,"RBM6",1202,1015,1855,919,1721,1714,1171,1013
"ENSG00000004660","ENSG00000004660","CAMKK1",NA,"protein_coding",3763609,3798185,"17",-1,NA,"CAMKK1",95,55,59,35,87,79,154,67
"ENSG00000004700","ENSG00000004700","RECQL",NA,"protein_coding",21621845,21654603,"12",-1,NA,"RECQL",940,1096,1192,766,949,1452,812,1192
"ENSG00000004766","ENSG00000004766","CCDC132",NA,"protein_coding",92861653,92988338,"7",1,NA,"CCDC132",492,413,546,337,611,677,435,424
"ENSG00000004776","ENSG00000004776","HSPB6",NA,"protein_coding",36245469,36248980,"19",-1,NA,"HSPB6",3473,3078,2775,1621,2084,2254,3571,3153
"ENSG00000004777","ENSG00000004777","ARHGAP33",NA,"protein_coding",36265434,36279724,"19",1,NA,"ARHGAP33",131,112,134,56,91,76,111,71
"ENSG00000004779","ENSG00000004779","NDUFAB1",NA,"protein_coding",23592323,23607677,"16",-1,NA,"NDUFAB1",329,335,494,258,417,572,294,325
"ENSG00000004799","ENSG00000004799","PDK4",NA,"protein_coding",95212811,95225803,"7",-1,NA,"PDK4",81,782,130,1106,235,485,628,3187
"ENSG00000004809","ENSG00000004809","SLC22A16",NA,"protein_coding",110745890,110797844,"6",-1,NA,"SLC22A16",0,0,0,0,0,0,0,0
"ENSG00000004838","ENSG00000004838","ZMYND10",NA,"protein_coding",50378541,50384283,"3",-1,NA,"ZMYND10",12,11,22,8,12,18,17,6
"ENSG00000004846","ENSG00000004846","ABCB5",NA,"protein_coding",20654830,20816658,"7",1,NA,"ABCB5",23,3,70,11,8,9,22,5
"ENSG00000004848","ENSG00000004848","ARX",NA,"protein_coding",25021811,25034065,"X",-1,NA,"ARX",0,0,0,0,0,0,0,0
"ENSG00000004864","ENSG00000004864","SLC25A13",NA,"protein_coding",95749532,95951459,"7",-1,NA,"SLC25A13",143,117,131,88,227,284,146,129
"ENSG00000004866","ENSG00000004866","ST7",NA,"protein_coding",116593292,116870157,"7",1,NA,"ST7",449,259,772,241,527,502,401,296
"ENSG00000004897","ENSG00000004897","CDC27",NA,"protein_coding",45195069,45266788,"17",-1,NA,"CDC27",1549,1339,1730,1107,1793,2173,1338,1407
"ENSG00000004939","ENSG00000004939","SLC4A1",NA,"protein_coding",42325753,42345509,"17",-1,NA,"SLC4A1",0,0,0,0,0,0,0,0
"ENSG00000004948","ENSG00000004948","CALCR",NA,"protein_coding",93053799,93204042,"7",-1,NA,"CALCR",0,0,0,0,0,0,0,0
"ENSG00000004961","ENSG00000004961","HCCS",NA,"protein_coding",11129421,11141198,"X",1,NA,"HCCS",446,330,531,287,666,604,360,405
"ENSG00000004975","ENSG00000004975","DVL2",NA,"protein_coding",7128660,7137864,"17",-1,NA,"DVL2",1366,1002,1069,516,1237,1061,1020,841
"ENSG00000005001","ENSG00000005001","PRSS22",NA,"protein_coding",2902728,2908171,"16",-1,NA,"PRSS22",0,0,0,0,0,0,0,0
"ENSG00000005007","ENSG00000005007","UPF1",NA,"protein_coding",18942747,18979045,"19",1,NA,"UPF1",2158,2266,2436,1518,2341,3310,1964,2495
"ENSG00000005020","ENSG00000005020","SKAP2",NA,"protein_coding",26706681,27034858,"7",-1,NA,"SKAP2",833,781,715,556,637,827,769,904
"ENSG00000005022","ENSG00000005022","SLC25A5",NA,"protein_coding",118602363,118605282,"X",1,NA,"SLC25A5",1340,1059,1323,785,1294,1450,922,974
"ENSG00000005059","ENSG00000005059","CCDC109B",NA,"protein_coding",110481361,110609874,"4",1,NA,"CCDC109B",215,197,249,177,193,204,211,236
"ENSG00000005073","ENSG00000005073","HOXA11",NA,"protein_coding",27221129,27224842,"7",-1,NA,"HOXA11",1,0,1,0,1,1,0,0
"ENSG00000005075","ENSG00000005075","POLR2J",NA,"protein_coding",102113565,102119354,"7",-1,NA,"POLR2J",797,828,1010,529,980,1265,678,682
"ENSG00000005100","ENSG00000005100","DHX33",NA,"protein_coding",5344232,5372380,"17",-1,NA,"DHX33",434,445,487,356,522,695,379,628
"ENSG00000005102","ENSG00000005102","MEOX1",NA,"protein_coding",41717756,41739322,"17",-1,NA,"MEOX1",1,0,0,0,3,0,0,0
"ENSG00000005108","ENSG00000005108","THSD7A",NA,"protein_coding",11409984,11871824,"7",-1,NA,"THSD7A",9,7,6,8,9,20,12,15
"ENSG00000005156","ENSG00000005156","LIG3",NA,"protein_coding",33307513,33332083,"17",1,NA,"LIG3",229,143,242,93,347,409,182,126
"ENSG00000005175","ENSG00000005175","RPAP3",NA,"protein_coding",48057070,48099844,"12",-1,NA,"RPAP3",347,294,237,123,513,449,345,298
"ENSG00000005187","ENSG00000005187","ACSM3",NA,"protein_coding",20621565,20808903,"16",1,NA,"ACSM3",4,6,12,10,9,10,12,6
"ENSG00000005189","ENSG00000005189","AC004381.6",NA,"protein_coding",20817751,20860987,"16",1,NA,"AC004381.6",82,62,88,58,92,53,93,71
"ENSG00000005194","ENSG00000005194","CIAPIN1",NA,"protein_coding",57462081,57481440,"16",-1,NA,"CIAPIN1",413,410,557,352,537,685,355,428
"ENSG00000005206","ENSG00000005206","SPPL2B",NA,"processed_transcript",2328614,2355099,"19",1,NA,"SPPL2B",680,586,760,418,748,1049,583,632
"ENSG00000005238","ENSG00000005238","FAM214B",NA,"protein_coding",35104109,35116338,"9",-1,NA,"FAM214B",805,627,850,396,989,957,596,621
"ENSG00000005243","ENSG00000005243","COPZ2",NA,"protein_coding",46103533,46115392,"17",-1,NA,"COPZ2",1132,928,1332,755,990,1088,1038,940
"ENSG00000005249","ENSG00000005249","PRKAR2B",NA,"protein_coding",106685094,106802256,"7",1,NA,"PRKAR2B",220,242,281,317,291,387,209,413
"ENSG00000005302","ENSG00000005302","MSL3",NA,"protein_coding",11776278,11793870,"X",1,NA,"MSL3",481,523,495,316,496,687,404,379
"ENSG00000005339","ENSG00000005339","CREBBP",NA,"protein_coding",3775055,3930727,"16",-1,NA,"CREBBP",2639,1917,3135,1491,3225,3957,2378,2557
"ENSG00000005379","ENSG00000005379","BZRAP1",NA,"protein_coding",56378592,56406152,"17",-1,NA,"BZRAP1",186,152,122,87,171,311,118,130
"ENSG00000005381","ENSG00000005381","MPO",NA,"protein_coding",56347217,56358296,"17",-1,NA,"MPO",4,10,9,1,0,3,6,3
"ENSG00000005421","ENSG00000005421","PON1",NA,"protein_coding",94926988,95025673,"7",-1,NA,"PON1",0,0,0,0,1,0,0,0
"ENSG00000005436","ENSG00000005436","GCFC2",NA,"protein_coding",75879126,75938115,"2",-1,NA,"GCFC2",214,216,282,182,318,422,238,252
"ENSG00000005448","ENSG00000005448","WDR54",NA,"protein_coding",74648805,74652882,"2",1,NA,"WDR54",229,206,270,152,234,432,166,247
"ENSG00000005469","ENSG00000005469","CROT",NA,"protein_coding",86974997,87029111,"7",1,NA,"CROT",498,379,305,171,626,508,515,472
"ENSG00000005471","ENSG00000005471","ABCB4",NA,"protein_coding",87031013,87109751,"7",-1,NA,"ABCB4",64,18,60,17,21,18,52,22
"ENSG00000005483","ENSG00000005483","KMT2E",NA,"protein_coding",104654626,104754808,"7",1,NA,"KMT2E",1679,1466,1698,1096,2159,2558,1546,1782
"ENSG00000005486","ENSG00000005486","RHBDD2",NA,"protein_coding",75471920,75518244,"7",1,NA,"RHBDD2",768,618,1110,564,1185,1423,763,687
"ENSG00000005513","ENSG00000005513","SOX8",NA,"protein_coding",1031808,1036979,"16",1,NA,"SOX8",10,2,5,0,5,3,5,7
"ENSG00000005700","ENSG00000005700","IBTK",NA,"protein_coding",82879700,82957471,"6",-1,NA,"IBTK",1069,824,1512,790,1335,1703,1157,1165
"ENSG00000005801","ENSG00000005801","ZNF195",NA,"protein_coding",3360491,3400448,"11",-1,NA,"ZNF195",200,172,295,136,320,279,197,150
"ENSG00000005810","ENSG00000005810","MYCBP2",NA,"protein_coding",77618792,77901185,"13",-1,NA,"MYCBP2",2688,2018,2621,1535,2946,3682,2216,2298
"ENSG00000005812","ENSG00000005812","FBXL3",NA,"protein_coding",77566740,77601330,"13",-1,NA,"FBXL3",1361,1380,1381,1300,1126,1815,1162,1680
"ENSG00000005844","ENSG00000005844","ITGAL",NA,"protein_coding",30483979,30534506,"16",1,NA,"ITGAL",1,0,2,0,1,1,1,0
"ENSG00000005882","ENSG00000005882","PDK2",NA,"protein_coding",48172101,48189516,"17",1,NA,"PDK2",610,546,740,407,817,774,650,704
"ENSG00000005884","ENSG00000005884","ITGA3",NA,"protein_coding",48133332,48167845,"17",1,NA,"ITGA3",708,655,1566,1114,1328,2635,1207,1457
"ENSG00000005889","ENSG00000005889","ZFX",NA,"protein_coding",24167290,24234372,"X",1,NA,"ZFX",679,593,771,465,857,1115,929,1028
"ENSG00000005893","ENSG00000005893","LAMP2",NA,"protein_coding",119561682,119603220,"X",-1,NA,"LAMP2",5102,4470,6219,3853,5653,6954,4722,5161
"ENSG00000005955","ENSG00000005955","GGNBP2",NA,"protein_coding",34900737,34946278,"17",1,NA,"GGNBP2",1329,1279,1772,1055,1705,1918,1152,1465
"ENSG00000005961","ENSG00000005961","ITGA2B",NA,"protein_coding",42449548,42466873,"17",-1,NA,"ITGA2B",5,11,12,3,7,5,14,10
"ENSG00000005981","ENSG00000005981","ASB4",NA,"protein_coding",95107756,95169544,"7",1,NA,"ASB4",0,0,0,0,0,0,0,0
"ENSG00000006007","ENSG00000006007","GDE1",NA,"protein_coding",19513015,19533467,"16",-1,NA,"GDE1",1941,1825,2481,1676,2858,3584,1729,2105
"ENSG00000006015","ENSG00000006015","C19orf60",NA,"protein_coding",18699495,18703146,"19",1,NA,"C19orf60",517,463,410,191,260,366,410,375
"ENSG00000006016","ENSG00000006016","CRLF1",NA,"protein_coding",18683030,18718551,"19",-1,NA,"CRLF1",132,95,98,82,79,168,243,263
"ENSG00000006025","ENSG00000006025","OSBPL7",NA,"protein_coding",45884738,45899200,"17",-1,NA,"OSBPL7",229,132,278,78,185,97,205,104
"ENSG00000006042","ENSG00000006042","TMEM98",NA,"protein_coding",31254928,31272124,"17",1,NA,"TMEM98",2986,2393,3664,2077,3852,4572,2927,3010
"ENSG00000006047","ENSG00000006047","YBX2",NA,"protein_coding",7191571,7197934,"17",-1,NA,"YBX2",0,1,1,0,1,0,3,0
"ENSG00000006059","ENSG00000006059","KRT33A",NA,"protein_coding",39502344,39507064,"17",-1,NA,"KRT33A",0,0,0,0,0,0,0,0
"ENSG00000006062","ENSG00000006062","MAP3K14",NA,"processed_transcript",43340488,43394414,"17",-1,NA,"MAP3K14",272,224,274,79,287,177,199,116
"ENSG00000006071","ENSG00000006071","ABCC8",NA,"protein_coding",17414432,17498449,"11",-1,NA,"ABCC8",0,0,0,0,0,0,0,0
"ENSG00000006074","ENSG00000006074","CCL18",NA,"protein_coding",34391640,34399392,"17",1,NA,"CCL18",0,0,0,0,0,0,0,1
"ENSG00000006075","ENSG00000006075","CCL3",NA,"protein_coding",34415602,34417515,"17",-1,NA,"CCL3",0,0,0,0,0,0,0,0
"ENSG00000006114","ENSG00000006114","SYNRG",NA,"protein_coding",35874900,35969544,"17",-1,NA,"SYNRG",1224,711,1310,560,1537,1211,990,742
"ENSG00000006116","ENSG00000006116","CACNG3",NA,"protein_coding",24266874,24374122,"16",1,NA,"CACNG3",0,0,0,0,0,0,0,0
"ENSG00000006118","ENSG00000006118","TMEM132A",NA,"protein_coding",60691935,60704631,"11",1,NA,"TMEM132A",513,336,579,254,738,594,380,247
"ENSG00000006125","ENSG00000006125","AP2B1",NA,"protein_coding",33905065,34053436,"17",1,NA,"AP2B1",7174,5362,7780,5110,8105,9420,5580,6653
"ENSG00000006128","ENSG00000006128","TAC1",NA,"protein_coding",97361220,97369784,"7",1,NA,"TAC1",0,4,1,0,0,0,0,0
"ENSG00000006194","ENSG00000006194","ZNF263",NA,"protein_coding",3313743,3351401,"16",1,NA,"ZNF263",540,451,583,433,664,844,499,508
"ENSG00000006210","ENSG00000006210","CX3CL1",NA,"protein_coding",57406370,57418960,"16",1,NA,"CX3CL1",5,6,2,3,3,15,12,31
"ENSG00000006282","ENSG00000006282","SPATA20",NA,"protein_coding",48620419,48633213,"17",1,NA,"SPATA20",1747,1317,1334,715,1633,1868,1355,1314
"ENSG00000006283","ENSG00000006283","CACNA1G",NA,"protein_coding",48638429,48704835,"17",1,NA,"CACNA1G",113,45,40,5,157,77,80,25
"ENSG00000006327","ENSG00000006327","TNFRSF12A",NA,"protein_coding",3068446,3072384,"16",1,NA,"TNFRSF12A",540,348,668,258,720,1360,582,367
"ENSG00000006377","ENSG00000006377","DLX6",NA,"protein_coding",96634860,96640351,"7",1,NA,"DLX6",0,0,0,0,0,0,0,0
"ENSG00000006432","ENSG00000006432","MAP3K9",NA,"protein_coding",71189243,71276251,"14",-1,NA,"MAP3K9",5,4,7,5,12,7,1,2
"ENSG00000006451","ENSG00000006451","RALA",NA,"protein_coding",39663082,39747723,"7",1,NA,"RALA",1791,920,1143,544,1574,1155,1102,801
"ENSG00000006453","ENSG00000006453","BAIAP2L1",NA,"protein_coding",97920963,98030380,"7",-1,NA,"BAIAP2L1",141,99,207,108,195,219,158,129
"ENSG00000006459","ENSG00000006459","KDM7A",NA,"protein_coding",139784546,139876835,"7",-1,NA,"KDM7A",430,327,338,289,462,373,438,499
"ENSG00000006468","ENSG00000006468","ETV1",NA,"protein_coding",13930853,14031050,"7",-1,NA,"ETV1",214,94,207,120,171,229,315,263
"ENSG00000006530","ENSG00000006530","AGK",NA,"protein_coding",141250989,141355044,"7",1,NA,"AGK",303,276,344,203,420,467,268,277
"ENSG00000006534","ENSG00000006534","ALDH3B1",NA,"protein_coding",67776048,67796744,"11",1,NA,"ALDH3B1",875,1108,1391,856,1521,2571,525,843
"ENSG00000006555","ENSG00000006555","TTC22",NA,"protein_coding",55245385,55266940,"1",-1,NA,"TTC22",0,0,0,0,0,0,0,0
"ENSG00000006576","ENSG00000006576","PHTF2",NA,"protein_coding",77428122,77586818,"7",1,NA,"PHTF2",924,653,1538,678,1347,1144,1454,1016
"ENSG00000006606","ENSG00000006606","CCL26",NA,"protein_coding",75398851,75419214,"7",-1,NA,"CCL26",3,4,7,1,7,10,2,2
"ENSG00000006607","ENSG00000006607","FARP2",NA,"protein_coding",242295658,242434256,"2",1,NA,"FARP2",652,733,924,776,674,1458,738,1144
"ENSG00000006611","ENSG00000006611","USH1C",NA,"protein_coding",17515442,17565963,"11",-1,NA,"USH1C",0,0,0,0,0,0,0,0
"ENSG00000006625","ENSG00000006625","GGCT",NA,"protein_coding",30536237,30591095,"7",-1,NA,"GGCT",207,186,216,101,289,333,171,133
"ENSG00000006634","ENSG00000006634","DBF4",NA,"protein_coding",87505531,87538856,"7",1,NA,"DBF4",98,70,104,48,113,103,96,72
"ENSG00000006638","ENSG00000006638","TBXA2R",NA,"protein_coding",3594504,3606838,"19",-1,NA,"TBXA2R",90,47,112,43,75,49,67,52
"ENSG00000006652","ENSG00000006652","IFRD1",NA,"protein_coding",112063023,112121072,"7",1,NA,"IFRD1",889,823,1047,586,1581,1768,1178,1097
"ENSG00000006659","ENSG00000006659","LGALS14",NA,"protein_coding",40194946,40200084,"19",1,NA,"LGALS14",0,0,0,0,0,0,0,0
"ENSG00000006695","ENSG00000006695","COX10",NA,"protein_coding",13972813,14111994,"17",1,NA,"COX10",166,150,221,130,209,356,139,170
"ENSG00000006704","ENSG00000006704","GTF2IRD1",NA,"protein_coding",73868120,74016931,"7",1,NA,"GTF2IRD1",309,221,346,170,330,276,299,331
"ENSG00000006712","ENSG00000006712","PAF1",NA,"protein_coding",39876492,39881835,"19",-1,NA,"PAF1",991,866,1504,715,1575,1480,1054,938
"ENSG00000006715","ENSG00000006715","VPS41",NA,"protein_coding",38762563,38971994,"7",-1,NA,"VPS41",2054,1582,2681,1578,2825,3223,2174,2138
"ENSG00000006740","ENSG00000006740","ARHGAP44",NA,"protein_coding",12692856,12894960,"17",1,NA,"ARHGAP44",37,26,27,18,38,38,48,55
"ENSG00000006744","ENSG00000006744","ELAC2",NA,"protein_coding",12895708,12921504,"17",-1,NA,"ELAC2",928,935,1065,617,1090,1344,693,924
"ENSG00000006747","ENSG00000006747","SCIN",NA,"protein_coding",12610203,12693228,"7",1,NA,"SCIN",3,3,1,0,2,3,2,2
"ENSG00000006756","ENSG00000006756","ARSD",NA,"protein_coding",2822011,2847392,"X",-1,NA,"ARSD",391,295,488,278,541,598,449,562
"ENSG00000006757","ENSG00000006757","PNPLA4",NA,"protein_coding",7866288,7895780,"X",-1,NA,"PNPLA4",119,140,175,86,203,221,141,143
"ENSG00000006788","ENSG00000006788","MYH13",NA,"protein_coding",10201401,10276447,"17",-1,NA,"MYH13",4,35,0,1,5,17,0,20
"ENSG00000006831","ENSG00000006831","ADIPOR2",NA,"protein_coding",1797740,1897844,"12",1,NA,"ADIPOR2",1070,1033,1187,851,1181,1615,878,1102
"ENSG00000006837","ENSG00000006837","CDKL3",NA,"protein_coding",133541305,133706738,"5",-1,NA,"CDKL3",17,6,13,7,17,13,15,8
"ENSG00000007001","ENSG00000007001","UPP2",NA,"protein_coding",158733214,158992666,"2",1,NA,"UPP2",3,3,4,0,3,0,1,1
"ENSG00000007038","ENSG00000007038","PRSS21",NA,"protein_coding",2867164,2876305,"16",1,NA,"PRSS21",1,0,5,2,0,0,1,4
"ENSG00000007047","ENSG00000007047","MARK4",NA,"protein_coding",45582546,45808541,"19",1,NA,"MARK4",741,675,840,553,979,1121,700,798
"ENSG00000007062","ENSG00000007062","PROM1",NA,"protein_coding",15964699,16086001,"4",-1,NA,"PROM1",1,0,1,0,0,1,0,0
"ENSG00000007080","ENSG00000007080","CCDC124",NA,"protein_coding",18043825,18054800,"19",1,NA,"CCDC124",617,697,698,393,786,1169,473,586
"ENSG00000007129","ENSG00000007129","CEACAM21",NA,"protein_coding",42055886,42093197,"19",1,NA,"CEACAM21",0,0,0,0,0,0,0,0
"ENSG00000007168","ENSG00000007168","PAFAH1B1",NA,"protein_coding",2496504,2588909,"17",1,NA,"PAFAH1B1",3191,2910,3808,2388,3809,4813,2846,3212
"ENSG00000007171","ENSG00000007171","NOS2",NA,"protein_coding",26083792,26127525,"17",-1,NA,"NOS2",0,2,0,0,2,2,5,1
"ENSG00000007174","ENSG00000007174","DNAH9",NA,"protein_coding",11501748,11873065,"17",1,NA,"DNAH9",0,1,1,0,2,1,1,0
"ENSG00000007202","ENSG00000007202","KIAA0100",NA,"protein_coding",26941458,26972472,"17",-1,NA,"KIAA0100",4196,3353,5237,2825,5104,6764,3823,3978
"ENSG00000007216","ENSG00000007216","SLC13A2",NA,"protein_coding",26800311,26824799,"17",1,NA,"SLC13A2",0,0,0,0,0,0,0,0
"ENSG00000007237","ENSG00000007237","GAS7",NA,"protein_coding",9813926,10101868,"17",-1,NA,"GAS7",404,114,309,42,277,144,1343,730
"ENSG00000007255","ENSG00000007255","TRAPPC6A",NA,"protein_coding",45666186,45681495,"19",-1,NA,"TRAPPC6A",129,145,116,115,139,175,114,101
"ENSG00000007264","ENSG00000007264","MATK",NA,"protein_coding",3777971,3802127,"19",-1,NA,"MATK",0,0,0,0,0,1,0,0
